name,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density,ml_algorithm,best_methods
abalone,'Length',4177.0,0.49766249999999995,0.0611125,0.11312499999999999,0.8025,0.5240125,0.5431250000000001,0.11952499999999998,-0.621575,0.04065,0.079375,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,4.498575,0.005775000000000001,DecisionTree,"['impute_mean', 'impute_standard', 'impute_median', 'impute_cmeans', 'impute_random', 'impute_knn', 'impute_linear_regression', 'impute_mice']"
abalone,'Length',4177.0,0.49766249999999995,0.0611125,0.11312499999999999,0.8025,0.5240125,0.5431250000000001,0.11952499999999998,-0.621575,0.04065,0.079375,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,4.498575,0.005775000000000001,LogisticRegression,"['impute_mean', 'impute_median', 'impute_cmeans', 'impute_random_forest', 'impute_linear_regression', 'impute_mice']"
abalone,'Length',4177.0,0.49766249999999995,0.0611125,0.11312499999999999,0.8025,0.5240125,0.5431250000000001,0.11952499999999998,-0.621575,0.04065,0.079375,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,4.498575,0.005775000000000001,KNN,"['impute_mean', 'impute_knn', 'impute_mice', 'impute_random_forest', 'impute_linear_regression', 'impute_standard']"
abalone,'Length',4177.0,0.49766249999999995,0.0611125,0.11312499999999999,0.8025,0.5240125,0.5431250000000001,0.11952499999999998,-0.621575,0.04065,0.079375,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,4.498575,0.005775000000000001,RandomForest,"['impute_median', 'impute_mean', 'impute_cmeans', 'impute_random', 'impute_standard', 'impute_mice', 'impute_knn', 'impute_linear_regression', 'impute_random_forest']"
abalone,'Length',4177.0,0.49766249999999995,0.0611125,0.11312499999999999,0.8025,0.5240125,0.5431250000000001,0.11952499999999998,-0.621575,0.04065,0.079375,0.1640625,0.0,0.0,0.0,0.0,0.0,0.0,4.498575,0.005775000000000001,AdaBoost,"['impute_linear_regression', 'impute_mice', 'impute_random_forest', 'impute_knn', 'impute_cmeans', 'impute_standard']"
abalone,'Length',4177.0,0.5046,0.0620875,0.11125,0.8093749999999998,0.52375,0.5425,0.12038750000000001,-0.6060625,-0.035262499999999995,0.08,0.16625,0.0,0.0,0.0,0.0,0.0,0.0,4.504175,0.00575,SVC,"['impute_mean', 'impute_cmeans', 'impute_median']"
abalone,'Length',4177.0,0.4523375,0.0561875,0.089375,0.7981250000000001,0.5236625,0.5431250000000001,0.1202125,-0.6520250000000001,0.08753749999999999,0.079375,0.16312500000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.5026125,0.0057125,DecisionTree,"['impute_cmeans', 'impute_median', 'impute_mean', 'impute_standard']"
abalone,'Length',4177.0,0.4523375,0.0561875,0.089375,0.7981250000000001,0.5236625,0.5431250000000001,0.1202125,-0.6520250000000001,0.08753749999999999,0.079375,0.16312500000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.5026125,0.0057125,LogisticRegression,"['impute_cmeans', 'impute_mice', 'impute_linear_regression', 'impute_random_forest', 'impute_mean']"
abalone,'Length',4177.0,0.4523375,0.0561875,0.089375,0.7981250000000001,0.5236625,0.5431250000000001,0.1202125,-0.6520250000000001,0.08753749999999999,0.079375,0.16312500000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.5026125,0.0057125,KNN,"['impute_mean', 'impute_random_forest', 'impute_mice', 'impute_knn', 'impute_median', 'impute_cmeans', 'impute_standard', 'impute_linear_regression']"
abalone,'Length',4177.0,0.4523375,0.0561875,0.089375,0.7981250000000001,0.5236625,0.5431250000000001,0.1202125,-0.6520250000000001,0.08753749999999999,0.079375,0.16312500000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.5026125,0.0057125,RandomForest,"['impute_standard', 'impute_mean', 'impute_cmeans', 'impute_median', 'impute_mice', 'impute_random_forest', 'impute_linear_regression', 'impute_knn']"
abalone,'Length',4177.0,0.4523375,0.0561875,0.089375,0.7981250000000001,0.5236625,0.5431250000000001,0.1202125,-0.6520250000000001,0.08753749999999999,0.079375,0.16312500000000002,0.0,0.0,0.0,0.0,0.0,0.0,4.5026125,0.0057125,AdaBoost,"['impute_knn', 'impute_mean', 'impute_median', 'impute_cmeans']"
abalone,'Length',4177.0,0.45137499999999997,0.05586250000000001,0.08625,0.8049999999999999,0.5247375000000001,0.54375,0.11965,-0.6390250000000001,0.06365,0.08,0.16375,0.0,0.0,0.0,0.0,0.0,0.0,4.4979625,0.0058000000000000005,SVC,"['impute_mean', 'impute_median']"
abalone,'Length',4177.0,0.39931249999999996,0.0522,0.08625,0.8006249999999999,0.5238499999999999,0.5443749999999999,0.1212125,-0.6602625,0.07796249999999999,0.07875,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.510225,0.0055125,DecisionTree,"['impute_standard', 'impute_mean', 'impute_median', 'impute_cmeans', 'impute_knn']"
abalone,'Length',4177.0,0.39931249999999996,0.0522,0.08625,0.8006249999999999,0.5238499999999999,0.5443749999999999,0.1212125,-0.6602625,0.07796249999999999,0.07875,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.510225,0.0055125,LogisticRegression,"['impute_random_forest', 'impute_linear_regression', 'impute_mice', 'impute_cmeans', 'impute_mean', 'impute_median']"
abalone,'Length',4177.0,0.39931249999999996,0.0522,0.08625,0.8006249999999999,0.5238499999999999,0.5443749999999999,0.1212125,-0.6602625,0.07796249999999999,0.07875,0.165,0.0,0.0,0.0,0.0,0.0,0.0,4.510225,0.0055125,KNN,"['impute_standard', 'impute_linear_regression', 'impute_knn', 'impute_mice', 'impute_random_forest', 'impute_cmeans', 'impute_median', 'impute_mean']"
